"condition","contrast","odds.ratio","SE","df","null","z.ratio","p.value"
"Light","control / catfish",0.863,0.396,Inf,1,-0.322,0.944
"Light","control / eel",1.641,0.734,Inf,1,1.108,0.509
"Light","catfish / eel",1.903,0.866,Inf,1,1.414,0.333
"Light","before / during",0.463,0.194,Inf,1,-1.836,0.158
"Light","before / after",0.297,0.135,Inf,1,-2.672,0.021
"Light","during / after",0.641,0.294,Inf,1,-0.969,0.597
"Dark","control / catfish",0.393,0.172,Inf,1,-2.133,0.083
"Dark","control / eel",1.542,0.655,Inf,1,1.019,0.565
"Dark","catfish / eel",3.924,1.693,Inf,1,3.17,0.004
"Dark","before / during",0.728,0.286,Inf,1,-0.807,0.698
"Dark","before / after",0.527,0.215,Inf,1,-1.569,0.259
"Dark","during / after",0.723,0.29,Inf,1,-0.809,0.698
