"condition","term","Estimate","Std. Error","z value","Pr(>|z|)"
"Light","(Intercept)",-0.065,0.501,-0.129,0.897
"Light","treatmentcatfish",0.148,0.459,0.322,0.747
"Light","treatmenteel",-0.496,0.447,-1.108,0.268
"Light","periodduring",0.769,0.419,1.836,0.066
"Light","periodafter",1.214,0.454,2.672,0.008
"Dark","(Intercept)",-0.77,0.462,-1.667,0.095
"Dark","treatmentcatfish",0.934,0.438,2.133,0.033
"Dark","treatmenteel",-0.433,0.425,-1.019,0.308
"Dark","periodduring",0.317,0.393,0.807,0.419
"Dark","periodafter",0.641,0.409,1.569,0.117
